! :: ,(!,Fat)
difusas :: ,(difuso,AQ)
difícil :: ,(difícil,AQ)
digital :: ,(digital,AQ)
digo :: ,(dizer,VMI)
digressão :: ,(digressão,NC)
dimensão :: ,(dimensão,NC)
dinheiro :: ,(dinheiro,NC)
dinâmica :: ,(dinâmica,NC)
directa :: ,(directo,AQ)
director :: ,(director,NC)
directora :: ,(director,NC)
direcção :: ,(direcção,NC)
direcção_nacional_do_sef :: ,(direcção_nacional_do_sef,NP)
direita :: ,(direita,NC)
dirigidas :: ,(dirigir,VMP)
dirão :: ,(dizer,VMI)
disciplinar :: ,(disciplinar,VMN)
disciplinares :: ,(disciplinar,VMN)
disco :: ,(disco,NP),(disco,NC)
discos :: ,(disco,NC)
discoteca :: ,(discoteca,NC)
discursos :: ,(discurso,NC)
discussão :: ,(discussão,NC)
discutir :: ,(discutir,VMN)
discutiram :: ,(discutir,VMI)
disponibilizá :: ,(disponibilizar,VMN)
distinguido :: ,(distinguir,VMP)
distintivos :: ,(distintivo,AQ)
distress_distress :: ,(distress_distress,NP)
distribuem :: ,(distribuir,VMI)
ditas :: ,(dito,AQ)
diz :: ,(dizer,VMI)
dizer :: ,(dizer,VMN)
diário_de_notícias :: ,(diário_de_notícias,NP)
dn :: ,(dn,NP)
do_que :: ,(do_que,CS)
docilmente :: ,(docilmente,RG)
documentais :: ,(documental,AQ)
doença :: ,(doença,NC)
doenças :: ,(doença,NC)
doer :: ,(doer,VMN)
dois :: ,(2,Z)
doutoramento :: ,(doutoramento,NC)
dr. :: ,(dr.,NC)
draconianas :: ,(draconiano,AQ)
duarte_belo :: ,(duarte_belo,NP)
duas :: ,(2,Z)
duo :: ,(duo,NC)
duplicaram :: ,(duplicar,VMI)
durante :: ,(durante,SP)
durão_barroso :: ,(durão_barroso,NP)
dá :: ,(dar,VMI)
década :: ,(década,NC)
décadas :: ,(década,NC)
dúvida :: ,(dúvida,NC)
e :: ,(e,CC)
economista :: ,(economista,NC)
económica :: ,(económico,AQ)
económico :: ,(económico,AQ)
ecrã :: ,(ecrã,NC)
edificado :: ,(edificar,VMP)
editados :: ,(editar,VMP)
editora :: ,(editor,NC)
editou :: ,(editar,VMI)
edição :: ,(edição,NC)
eduardo_raon :: ,(eduardo_raon,NP)
educar :: ,(educar,VMN)
efectuado :: ,(efectuar,VMP)
efeito :: ,(efeito,NC)
efeitos :: ,(efeito,NC)
efetuou :: ,(efetuou,VMI)
eficiente :: ,(eficiente,AQ)
eficientes :: ,(eficiente,AQ)
efémeras :: ,(efémero,AQ)
ela :: ,(ele,PP)
elaine_summers :: ,(elaine_summers,NP)
