! :: ,(!,-)
continue :: ,(continuar,-)
continuem :: ,(continuar,-)
continuous_project :: ,(continuous_project,-)
contou :: ,(contar,-)
contrabaixo :: ,(contrabaixo,-)
contribuintes :: ,(contribuinte,-)
contribuir :: ,(contribuir,-)
controlo :: ,(controlo,-)
contudo :: ,(contudo,-)
conveniente :: ,(conveniente,-)
convidado :: ,(convidar,-)
convidou :: ,(convidar,-)
convite :: ,(convite,-)
convivem :: ,(conviver,-)
cooptação :: ,(cooptação,-)
coordenou :: ,(coordenar,-)
cor :: ,(cor,-)
coreografia :: ,(coreografia,-)
coreográfico :: ,(coreográfico,-)
coreógrafa :: ,(coreógrafo,-)
coreógrafo :: ,(coreógrafo,-)
coreógrafos :: ,(coreógrafo,-)
correcção :: ,(correcção,-)
corrente :: ,(corrente,-)
correram :: ,(correr,-)
corresponder :: ,(corresponder,-)
corrupção :: ,(corrupção,-)
corsários :: ,(corsário,-)
corta-fogo :: ,(corta-fogo,-)
cortando :: ,(cortar,-)
creio :: ,(crer,-)
cresceu :: ,(crescer,-)
crescimento :: ,(crescimento,-)
cria :: ,(crer,-)
criada :: ,(criar,-)
criado :: ,(criado,-)
criadora :: ,(criador,-)
crianças :: ,(criança,-)
criar :: ,(criar,-)
criação :: ,(criação,-)
criminais :: ,(criminal,-)
criminosas :: ,(criminoso,-)
crioulo :: ,(crioulo,-)
crises :: ,(crises,-)
cristiano_ronaldo :: ,(cristiano_ronaldo,-)
criticavam :: ,(criticar,-)
cruzando :: ,(cruzar,-)
cruzou :: ,(cruzar,-)
cujas :: ,(cujo,-)
cujo :: ,(cujo,-)
cujos :: ,(cujo,-)
cultivada :: ,(cultivar,-)
cultural :: ,(cultural,-)
culturgest :: ,(culturgest,-)
cumplicidade :: ,(cumplicidade,-)
cumplicidades :: ,(cumplicidade,-)
curiosamente :: ,(curioso,-)
curriculum :: ,(curriculum,-)
currículo :: ,(currículo,-)
currículos :: ,(currículo,-)
curso :: ,(curso,-)
cursos :: ,(curso,-)
cá :: ,(cá,-)
câmara_municipal_do_funchal :: ,(câmara_municipal_do_funchal,-)
cânone :: ,(cânone,-)
cívico :: ,(cívico,-)
dados :: ,(dado,-)
dando :: ,(dar,-)
dança :: ,(dança,-)
data :: ,(data,-)
de :: ,(de,-)
de_acordo :: ,(de_acordo,-)
dead_combo :: ,(dead_combo,-)
dead_man_talking :: ,(dead_man_talking,-)
debate :: ,(debate,-)
deborah_hay :: ,(deborah_hay,-)
decadência :: ,(decadência,-)
decisão :: ,(decisão,-)
decisões :: ,(decisão,-)
declarações :: ,(declaração,-)
decorar :: ,(decorar,-)
defesa :: ,(defesa,-)
define :: ,(definir,-)
definida :: ,(definir,-)
definido :: ,(definir,-)
definindo :: ,(definir,-)
deixado :: ,(deixar,-)
delineado :: ,(delinear,-)
demitida :: ,(demitir,-)
democrática :: ,(democrático,-)
democráticas :: ,(democrático,-)
democráticos :: ,(democrático,-)
demonstrassem :: ,(demonstrar,-)
densidade :: ,(densidade,-)
denso :: ,(denso,-)
dentro :: ,(dentro,-)
dentro_de :: ,(dentro_de,-)
denunciava :: ,(denunciar,-)
deolinda :: ,(deolinda,-)
depois :: ,(depois,-)
derrota :: ,(derrota,-)
derrotas :: ,(derrota,-)
desadequados :: ,(desadequado,-)
desafio :: ,(desafio,-)
desaires :: ,(desaire,-)
desajustadas :: ,(desajustar,-)
desaparecer :: ,(desaparecer,-)
desaparecidos :: ,(desaparecer,-)
descalabro :: ,(descalabro,-)
descem :: ,(descer,-)
desceu :: ,(descer,-)
descobrir :: ,(descobrir,-)
descreve :: ,(descrever,-)
descrita :: ,(descrever,-)
desde :: ,(desde,-)
desde_então :: ,(desde_então,-)
desde_já :: ,(desde_já,-)
desejados :: ,(desejar,-)
desembocar :: ,(desembocar,-)
desenhou :: ,(desenhar,-)
desenvolvem :: ,(desenvolver,-)
desenvolvido :: ,(desenvolver,-)
desenvolvimento :: ,(desenvolvimento,-)
desenvolvimento_rural :: ,(desenvolvimento_rural,-)
desertificado :: ,(desertificar,-)
desertificação :: ,(desertificação,-)
deserto :: ,(deserto,-)
desfazer :: ,(desfazer,-)
designadamente :: ,(designado,-)
desilusão :: ,(desilusão,-)
desligou :: ,(desligar,-)
deslocamos :: ,(deslocar,-)
deslocações :: ,(deslocação,-)
desmandos :: ,(desmando,-)
despacho :: ,(despacho,-)
desregular :: ,(desregular,-)
dessa :: ,(dessar,-)
destaca :: ,(destacar,-)
destacado :: ,(destacar,-)
destaques :: ,(destaque,-)
destoar :: ,(destoar,-)
destruído :: ,(destruir,-)
detalha :: ,(detalhar,-)
determinar :: ,(determinar,-)
deu :: ,(dar,-)
deve :: ,(dever,-)
deveria :: ,(dever,-)
deverá :: ,(dever,-)
deverão :: ,(dever,-)
deveu :: ,(dever,-)
devolutos :: ,(devoluto,-)
dia :: ,(dia,-)
dia-a-dia :: ,(dia-a-dia,-)
dia_10 :: ,([??:10/??/??:??.??:??],-)
dia_12 :: ,([??:12/??/??:??.??:??],-)
dia_16 :: ,([??:16/??/??:??.??:??],-)
dia_17_de_março :: ,([??:17/3/??:??.??:??],-)
dia_20_de_janeiro :: ,([??:20/1/??:??.??:??],-)
dia_24 :: ,([??:24/??/??:??.??:??],-)
dia_25_de_fevereiro :: ,([??:25/2/??:??.??:??],-)
dia_2_de_março :: ,([??:2/3/??:??.??:??],-)
dia_9 :: ,([??:9/??/??:??.??:??],-)
diagnóstico :: ,(diagnóstico,-)
diana :: ,(diana,-)
diana_policarpo :: ,(diana_policarpo,-)
diana_policarpo_yann_gibert_o :: ,(diana_policarpo_yann_gibert_o,-)
diante :: ,(diante,-)
diferente :: ,(diferente,-)
diferentes :: ,(diferente,-)
diferença :: ,(diferença,-)
dificuldade :: ,(dificuldade,-)
difusas :: ,(difuso,-)
difícil :: ,(difícil,-)
digital :: ,(digital,-)
digo :: ,(dizer,-)
digressão :: ,(digressão,-)
dimensão :: ,(dimensão,-)
dinheiro :: ,(dinheiro,-)
dinâmica :: ,(dinâmica,-)
directa :: ,(directo,-)
director :: ,(director,-)
directora :: ,(director,-)
direcção :: ,(direcção,-)
direcção_nacional_do_sef :: ,(direcção_nacional_do_sef,-)
direita :: ,(direita,-)
dirigidas :: ,(dirigir,-)
dirão :: ,(dizer,-)
disciplinar :: ,(disciplinar,-)
disciplinares :: ,(disciplinar,-)
disco :: ,(disco,-)
discos :: ,(disco,-)
discoteca :: ,(discoteca,-)
discursos :: ,(discurso,-)
discussão :: ,(discussão,-)
discutir :: ,(discutir,-)
discutiram :: ,(discutir,-)
disponibilizá :: ,(disponibilizar,-)
distinguido :: ,(distinguir,-)
distintivos :: ,(distintivo,-)
distress_distress :: ,(distress_distress,-)
distribuem :: ,(distribuir,-)
ditas :: ,(dito,-)
diz :: ,(dizer,-)
dizer :: ,(dizer,-)
diário_de_notícias :: ,(diário_de_notícias,-)
dn :: ,(dn,-)
do_que :: ,(do_que,-)
docilmente :: ,(docilmente,-)
documentais :: ,(documental,-)
doença :: ,(doença,-)
doenças :: ,(doença,-)
doer :: ,(doer,-)
dois :: ,(2,-)
doutoramento :: ,(doutoramento,-)
dr. :: ,(dr.,-)
draconianas :: ,(draconiano,-)
duarte_belo :: ,(duarte_belo,-)
duas :: ,(2,-)
duo :: ,(duo,-)
duplicaram :: ,(duplicar,-)
durante :: ,(durante,-)
durão_barroso :: ,(durão_barroso,-)
dá :: ,(dar,-)
década :: ,(década,-)
décadas :: ,(década,-)
dúvida :: ,(dúvida,-)
e :: ,(e,-)
economista :: ,(economista,-)
económica :: ,(económico,-)
económico :: ,(económico,-)
ecrã :: ,(ecrã,-)
edificado :: ,(edificar,-)
editados :: ,(editar,-)
editora :: ,(editor,-)
editou :: ,(editar,-)
edição :: ,(edição,-)
eduardo_raon :: ,(eduardo_raon,-)
educar :: ,(educar,-)
efectuado :: ,(efectuar,-)
efeito :: ,(efeito,-)
efeitos :: ,(efeito,-)
efetuou :: ,(efetuou,-)
eficiente :: ,(eficiente,-)
eficientes :: ,(eficiente,-)
efémeras :: ,(efémero,-)
ela :: ,(ele,-)
elaine_summers :: ,(elaine_summers,-)
elas :: ,(ele,-)
ele :: ,(ele,-)
electrónica :: ,(electrónico,-)
electrónicas :: ,(electrónico,-)
eleito :: ,(eleito,-)
eleição :: ,(eleição,-)
elementos :: ,(elemento,-)
eles :: ,(ele,-)
eliminadas :: ,(eliminar,-)
eliminação :: ,(eliminação,-)
elite :: ,(elite,-)
elitista :: ,(elitista,-)
ellen_alien :: ,(ellen_alien,-)
elogio :: ,(elogio,-)
em :: ,(em,-)
em_vez_de :: ,(em_vez_de,-)
email :: ,(email,-)
embora :: ,(embora,-)
emissões :: ,(emissão,-)
empate :: ,(empate,-)
empates :: ,(empate,-)
empenhará :: ,(empenhar,-)
emprego :: ,(emprego,-)
empresarial :: ,(empresarial,-)
encaixado :: ,(encaixar,-)
encaixar :: ,(encaixar,-)
encantamentos :: ,(encantamentos,-)
encarnados :: ,(encarnar,-)
encerrado :: ,(encerrar,-)
encerram :: ,(encerrar,-)
encerramento :: ,(encerramento,-)
encerrará :: ,(encerrar,-)
encheu :: ,(encher,-)
encomendado :: ,(encomendar,-)
encontrar :: ,(encontrar,-)
encontraram :: ,(encontrar,-)
encontrou :: ,(encontrar,-)
energia :: ,(energia,-)
entendem :: ,(entender,-)
entra :: ,(entrar,-)
entrada :: ,(entrada,-)
entrado :: ,(entrar,-)
entre :: ,(entre,-)
entrega :: ,(entregar,-)
entretanto :: ,(entretanto,-)
entulho :: ,(entulho,-)
entusiasmado :: ,(entusiasmar,-)
então :: ,(então,-)
enumera :: ,(enumerar,-)
enuncia :: ,(enunciar,-)
envelhecimento :: ,(envelhecimento,-)
enviesadas :: ,(enviesar,-)
envolventes :: ,(envolvente,-)
envolvimento :: ,(envolvimento,-)
epidemiologia :: ,(epidemiologia,-)
epidemiológica :: ,(epidemiológico,-)
equipa :: ,(equipa,-)
era :: ,(ser,-)
eram :: ,(ser,-)
ermo :: ,(ermo,-)
escala :: ,(escala,-)
escola_superior_de_dança :: ,(escola_superior_de_dança,-)
escravatura :: ,(escravatura,-)
escreve :: ,(escrever,-)
escreveu :: ,(escrever,-)
escritora :: ,(escritor,-)
escrupuloso :: ,(escrupuloso,-)
escultura :: ,(escultura,-)
escuridão :: ,(escuridão,-)
esforço :: ,(esforço,-)
espanto :: ,(espanto,-)
espaço :: ,(espaço,-)
espaços :: ,(espaço,-)
especial :: ,(especial,-)
especialista :: ,(especialista,-)
especialistas :: ,(especialista,-)
especialmente :: ,(especial,-)
especificamente :: ,(especificamente,-)
espectro :: ,(espectro,-)
espectáculo :: ,(espectáculo,-)
específicas :: ,(específico,-)
espera :: ,(esperar,-)
